,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,위도,경도
153,B000011134,동부중학교,중학교,1960-05-01,공립,본교,운영,경상남도 거제시 동부면 산양리 348,경상남도 거제시 동부면 동부로 28-6,9010000,경상남도교육청,34.82084244,128.6079629
154,B000011233,거창중학교고제분교장,중학교,1972-03-01,공립,분교,운영,경상남도 거창군 고제면 농산리 184,경상남도 거창군 고제면 고제로 48,9010000,경상남도교육청,35.81412414,127.8735691
158,B000009467,철산중학교,중학교,1983-03-01,공립,본교,운영,경기도 광명시 철산동 558,경기도 광명시 철망산로 71,7530000,경기도교육청,37.47030832,126.8753237
161,B000012840,고성고등학교,고등학교,1958-05-25,공립,본교,운영,강원도 고성군 간성읍 상리 391,강원도 고성군 간성읍 수성로 125,7800000,강원도교육청,38.3782834,128.4610029
162,B000012123,사직여자고등학교,고등학교,1986-04-29,사립,본교,운영,부산광역시 동래구 사직동 981-1,부산광역시 동래구 쇠미로27번길 21,7150000,부산광역시교육청,35.1968431,129.0514472
163,B000012380,대전지족고등학교,고등학교,2004-03-01,공립,본교,운영,대전광역시 유성구 지족동 857,대전광역시 유성구 노은서로 202,7430000,대전광역시교육청,36.37803212,127.3156568
164,B000023142,다정고등학교,고등학교,2019-03-01,공립,본교,운영,세종특별자치시 다정동 22-3,세종특별자치시 다정남로 15,9300000,세종특별자치시교육청,36.49334119,127.2422287
168,B000011764,김해생명과학고등학교,고등학교,1927-05-05,공립,본교,운영,경상남도 김해시 외동 743,경상남도 김해시 금관대로 1239,9010000,경상남도교육청,35.23723898,128.8552702
173,B000011032,창원대산중학교,중학교,1949-04-26,사립,본교,운영,경상남도 창원시 의창구 대산면 제동리 280,경상남도 창원시 의창구 대산면 진산대로 380,9010000,경상남도교육청,35.33415986,128.710433
174,B000013196,경안고등학교,고등학교,1954-05-14,사립,본교,운영,경상북도 안동시 금곡동 124-17,경상북도 안동시 제비원로 182,8750000,경상북도교육청,36.56850446,128.7204749
176,B000009077,유곡중학교,중학교,2003-03-05,공립,본교,운영,울산광역시 중구 태화동 196,울산광역시 중구 유곡로 85,7480000,울산광역시교육청,35.55882497,129.299591
178,B000008707,대명중학교,중학교,1970-06-05,공립,본교,운영,대구광역시 남구 대명동 519,대구광역시 남구 앞산순환로 477,7240000,대구광역시교육청,35.83308922,128.5767451
180,B000025754,인천경연중학교,중학교,2020-03-01,공립,본교,운영,인천광역시 서구 청라동 84-2,인천광역시 서구 차오름로 64,7310000,인천광역시교육청,37.53849651,126.6262363
182,B000012734,삼광고등학교,고등학교,1982-03-02,사립,본교,운영,경기도 파주시 적성면 식현리 284,경기도 파주시 적성면 청송로 701,7530000,경기도교육청,37.94557773,126.8855095
183,B000010932,인평중학교,중학교,2009-03-01,공립,본교,운영,경상북도 칠곡군 북삼읍 인평리 518-2,경상북도 칠곡군 북삼읍 북삼로 223,8750000,경상북도교육청,36.06259352,128.3356923
187,B000012067,단국대학교사범대학부속고등학교,고등학교,1983-12-26,사립,본교,운영,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21,7010000,서울특별시교육청,37.49561749,127.0577682
191,B000010997,안민중학교,중학교,2007-03-01,공립,본교,운영,경상남도 창원시 성산구 안민동 663-4,경상남도 창원시 성산구 안민로160번길 11,9010000,경상남도교육청,35.18365416,128.6933757
192,B000011664,나주상업고등학교,고등학교,1967-03-08,공립,본교,운영,전라남도 나주시 청동 88-1,전라남도 나주시 함박산길 23-4,8490000,전라남도교육청,35.04269594,126.722411
195,B000008318,봉영여자중학교,중학교,1951-10-08,사립,본교,운영,서울특별시 양천구 신정동 325-8,서울특별시 양천구 목동동로2길 68,7010000,서울특별시교육청,37.50921598,126.8601984
196,B000009722,백학중학교,중학교,1962-04-02,공립,본교,운영,경기도 연천군 백학면 두일리 568-2,경기도 연천군 백학면 두일로 79,7530000,경기도교육청,38.02671508,126.9083579
198,B000010913,이서중학교,중학교,1952-05-15,사립,본교,운영,경상북도 청도군 이서면 서원리 331-3,경상북도 청도군 이서면 학산1길 22,8750000,경상북도교육청,35.66249467,128.6684614
199,B000013549,충현고등학교,고등학교,1997-03-05,공립,본교,운영,경기도 광명시 소하동 991-1,경기도 광명시 오리로348번길 62,7530000,경기도교육청,37.43295996,126.8845281
200,B000011564,정선정보공업고등학교,고등학교,1951-09-01,공립,본교,운영,강원도 정선군 정선읍 북실리 765-1,강원도 정선군 정선읍 용담샛길 2,7800000,강원도교육청,37.38045612,128.6471346
202,B000008927,풍암중학교,중학교,2000-03-02,공립,본교,운영,광주광역시 서구 풍암동 1098,광주광역시 서구 풍암순환로 51,7380000,광주광역시교육청,35.12235904,126.8781231
205,B000012210,대곡고등학교,고등학교,2003-03-03,공립,본교,운영,대구광역시 달서구 도원동 1459,대구광역시 달서구 도원남로 80,7240000,대구광역시교육청,35.80323736,128.536857
206,B000012106,광명고등학교,고등학교,1989-03-01,사립,본교,운영,부산광역시 영도구 동삼동 226-118,부산광역시 영도구 와치로 131,7150000,부산광역시교육청,35.08366549,129.0646045
208,B000023177,구산고등학교,고등학교,2015-03-01,공립,본교,운영,경상남도 김해시 구산동 396,경상남도 김해시 가야로 311,9010000,경상남도교육청,35.25044359,128.8756694
213,B000013266,이서고등학교,고등학교,1970-05-15,사립,본교,운영,경상북도 청도군 이서면 서원리 331-3,경상북도 청도군 이서면 학산1길 22,8750000,경상북도교육청,35.66249467,128.6684614
218,B000012767,치악고등학교,고등학교,2005-03-01,공립,본교,운영,강원도 원주시 관설동 1798-1,강원도 원주시 치악고교길 16,7800000,강원도교육청,37.31576468,127.9585892
222,B000011718,한국생명과학고등학교,고등학교,1933-04-20,공립,본교,운영,경상북도 안동시 옥동 1230,경상북도 안동시 하이마로 385,8750000,경상북도교육청,36.55044902,128.6877646
223,B000013202,성희여자고등학교,고등학교,1985-03-01,사립,본교,운영,경상북도 안동시 정하동 산102-1,경상북도 안동시 강남로 246,8750000,경상북도교육청,36.55153109,128.7291442
224,B000013195,경일고등학교,고등학교,1972-12-26,사립,본교,운영,경상북도 안동시 신안동 51,경상북도 안동시 치이골길 46,8750000,경상북도교육청,36.57569842,128.7378295
225,B000013530,보문고등학교,고등학교,1975-03-05,사립,본교,운영,광주광역시 광산구 운수동 308,광주광역시 광산구 어등대로529번길 37,7380000,광주광역시교육청,35.15386307,126.7768705
231,B000011808,부산해사고등학교,고등학교,1978-03-27,국립,본교,운영,부산광역시 영도구 동삼동 1167,부산광역시 영도구 해양로 425,7150000,부산광역시교육청,35.0741905,129.0770175
234,B000008928,광주화정중학교,중학교,1979-09-01,공립,본교,운영,광주광역시 서구 화정동 647-7,광주광역시 서구 화운로 53,7380000,광주광역시교육청,35.14412529,126.8823691
235,B000012097,혜광고등학교,고등학교,1955-03-29,사립,본교,운영,부산광역시 중구 보수동1가 2-420,부산광역시 중구 망양로259번길 5,7150000,부산광역시교육청,35.10879982,129.0246054
237,B000009832,영월중학교,중학교,1946-09-18,공립,본교,운영,강원도 영월군 영월읍 영흥리 716-1,강원도 영월군 영월읍 오무개길 51,7800000,강원도교육청,37.19059443,128.4711874
239,B000022744,모전중학교,중학교,2014-03-01,공립,본교,운영,부산광역시 기장군 정관읍 모전리 720,부산광역시 기장군 정관읍 정관1로 9,7150000,부산광역시교육청,35.33811873,129.1621538
240,B000008313,목동중학교,중학교,1981-05-20,공립,본교,운영,서울특별시 양천구 신정동 88-1,서울특별시 양천구 목동동로 172,7010000,서울특별시교육청,37.5209572,126.8714631
241,B000012405,울산제일고등학교,고등학교,1988-03-01,사립,본교,운영,울산광역시 남구 옥동 910-1,울산광역시 남구 남부순환도로 107,7480000,울산광역시교육청,35.54258944,129.2681645
243,B000009729,봄내중학교,중학교,1934-04-10,공립,본교,운영,강원도 춘천시 효자동 214-4,강원도 춘천시 공지로200번길 36,7800000,강원도교육청,37.86546754,127.7407637
244,B000012774,육민관고등학교,고등학교,1946-03-15,사립,본교,운영,강원도 원주시 흥업면 흥업리 751,강원도 원주시 흥업면 북원로 1800,7800000,강원도교육청,37.30936357,127.9184855
245,B000012412,남목고등학교,고등학교,2008-03-01,공립,본교,운영,울산광역시 동구 서부동 728,울산광역시 동구 방어진순환도로 1200,7480000,울산광역시교육청,35.53801042,129.4187517
247,B000008258,오륜중학교,중학교,1989-04-18,공립,본교,운영,서울특별시 송파구 방이동 89-7,서울특별시 송파구 양재대로 1242,7010000,서울특별시교육청,37.51632395,127.1389238
253,B000011838,광주자동화설비공업고등학교,고등학교,1979-03-08,공립,본교,운영,광주광역시 광산구 우산동 1084,광주광역시 광산구 사암로92번길 136-26,7380000,광주광역시교육청,35.15002094,126.8140921
254,B000011362,부산디지털고등학교,고등학교,1954-03-24,사립,본교,운영,부산광역시 중구 영주동 446-2,부산광역시 중구 망양로 356,7150000,부산광역시교육청,35.10885429,129.0324467
261,B000013540,성신고등학교,고등학교,1988-03-03,사립,본교,운영,울산광역시 중구 복산동 352-2,울산광역시 중구 성신고교길 26,7480000,울산광역시교육청,35.56270656,129.3278415
262,B000011399,대구공업고등학교,고등학교,1925-04-01,공립,본교,운영,대구광역시 동구 신암동 811,대구광역시 동구 대현로 135,7240000,대구광역시교육청,35.88321267,128.6141702
266,B000009392,송운중학교,중학교,1996-03-01,공립,본교,운영,경기도 시흥시 정왕동 1875-4,경기도 시흥시 옥구천동로 433-11,7530000,경기도교육청,37.35941067,126.731408
268,B000012100,경남고등학교,고등학교,1942-04-30,공립,본교,운영,부산광역시 서구 동대신동3가 1-1,부산광역시 서구 망양로111번길 65,7150000,부산광역시교육청,35.1201981,129.0200404
270,B000011009,용원중학교,중학교,2009-03-01,공립,본교,운영,경상남도 창원시 진해구 용원동 1231,경상남도 창원시 진해구 용원로77번길 16,9010000,경상남도교육청,35.09965504,128.8179932
