"행정구역(시군구)별(1)",행정구역(시군구)별(2),2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액,급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"서울",성북구,145308,5185898,144985,5151143,125007,2875646,81347,325128,144303,5413273,143992,5379933,125398,3055295,83696,366105,151736,5835993,151398,5800967,133215,3306254,91025,390454,155845,6132023,155413,6096249,137708,3484727,96351,411337
"서울",송파구,259057,11619948,258616,11548756,229074,7119076,161587,988565,263839,12335849,263450,12265302,235044,7648481,170190,1090359,276658,13537820,276246,13465942,249204,8519595,181987,1262486,280758,14203992,280281,14132599,254867,8985165,190097,1346542
"서울",양천구,170566,6984964,170163,6937326,148866,4079804,101065,509587,170083,7279487,169639,7231996,149906,4312655,104614,555595,172285,7650219,171825,7602673,153597,4589238,109605,606591,175717,8042926,175324,7994256,158055,4847355,115304,644955
"서울",영등포구,153074,5837597,152777,5800786,134616,3358259,93189,382817,156209,6241782,155880,6204667,138146,3645515,98366,428496,161550,6726793,161219,6690935,144698,3983469,103908,482897,170948,7398345,170673,7361189,154535,4413931,113350,545297
"서울",용산구,85050,4552119,84895,4529872,74872,3127214,53410,559989,86315,4942793,86131,4920956,76651,3446181,55843,652293,89183,5248094,89004,5226355,79901,3669805,58971,712549,92859,5822661,92706,5800844,83865,4110203,62844,861572
"서울",은평구,170998,5155948,170587,5120914,146623,2604028,90768,213307,172919,5452739,172499,5418547,150051,2803426,96276,237902,177719,5878306,177256,5844440,156271,3083875,103118,269473,183936,6343267,183408,6306182,163526,3371416,111229,303023
"서울",종로구,50444,2248257,50296,2234441,43733,1430240,29994,227482,50504,2353076,50344,2338359,43989,1509950,30887,246835,51396,2447854,51243,2432965,45300,1573132,32485,257659,52689,2566206,52543,2551645,46744,1649953,33849,277468
"서울",중구,42757,1756529,42682,1746785,37209,1092584,25217,161342,43810,1894195,43720,1883631,38501,1190637,26971,180245,45693,2050997,45603,2040026,40617,1299416,28901,201769,47280,2184474,47160,2173922,42216,1390966,30661,224234
"서울",중랑구,139542,3698926,139230,3678356,118867,1751068,70443,115870,139776,3888819,139400,3869027,120658,1880763,74200,131191,141781,4114330,141421,4093528,124139,2022614,78675,140347,145667,4416068,145250,4394220,128931,2209852,84985,156250
"인천",소계,1063619,31804325,1059761,31576501,917079,15810894,575509,1185639,1084494,33953035,1079952,33734409,944830,17217264,620297,1345594,1123686,36741356,1119116,36509753,991130,18976022,669739,1539954,1145602,38615008,1141512,38385344,1018652,20064328,708814,1646243
