"시군구별(1)","보험료분위별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군구별(1)","보험료분위별(1)",계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역,계,계,계,직장,직장,직장,직장,직장,직장,직장,직장,직장,지역,지역,지역
"시군구별(1)","보험료분위별(1)",소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계,소계,소계,소계,소계,소계,소계,근로자,근로자,근로자,공교,공교,공교,소계,소계,소계
"시군구별(1)","보험료분위별(1)",세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),가입자 (명),평균보험료 (원),적용인구 (명),세대수 (세대),평균보험료 (원),적용인구 (명)
"부산","6분위",149498,69168,325063,99282,69724,217660,94072,69717,208033,5210,69848,9627,50216,68068,107403,152152,72220,325411,101832,73443,221024,97035,73420,212027,4797,73920,8997,50320,69743,104387,151517,75007,311178,104134,75609,218027,99209,75579,209292,4925,76218,8735,47383,73683,93151,153015,78366,307302,106285,78441,218160,101228,78408,209278,5057,79119,8882,46730,78193,89142,152545,81137,300944,106132,81061,213681,100993,81027,204666,5139,81717,9015,46413,81311,87263,159557,1248965,303118,107817,1361690,209915,102280,1361166,200726,5537,1371570,9189,51740,1025706,93203,162934,85679,305397,107323,91486,202940,101467,91480,193499,5856,91583,9441,55611,74471,102457
"부산","7분위",146195,88122,350936,95470,85922,237020,86236,85867,216973,9234,86437,20047,50725,92263,113916,149055,91943,354424,98829,90618,243968,90947,90540,226096,7882,91520,17872,50226,94550,110456,151391,95327,348817,101124,93267,241350,93443,93199,224616,7681,94099,16734,50267,99471,107467,153745,99336,347953,103717,96602,242706,96217,96545,226698,7500,97335,16008,50028,105003,105247,155226,102545,343037,104916,99321,240036,97017,99260,223906,7899,100067,16130,50310,109269,103001,157023,1601125,336113,106380,1654209,234799,98032,1653476,218942,8348,1662181,15857,50643,1493921,101314,146903,108229,306706,107692,110389,233339,99252,110358,217351,8440,110757,15988,39211,102296,73367
"부산","8분위",155298,114174,419292,97973,108662,278183,82540,108433,234391,15433,109884,43792,57325,123596,141109,155573,119321,416910,98406,115045,278820,84447,114656,238507,13959,117397,40313,57167,126681,138090,156351,123421,407715,100717,118117,277428,87650,117859,241035,13067,119848,36393,55634,133025,130287,158523,128332,406491,102676,122277,277489,89743,122105,242189,12933,123467,35300,55847,139465,129002,159582,132336,402025,103663,125854,276092,90901,125668,242107,12762,127177,33985,55919,144354,125933,160551,2078616,387680,104089,2088746,268471,91873,2085144,237097,12216,2116988,31374,56462,2060394,119209,163937,136910,384501,106335,138294,265882,94233,138054,235299,12102,140165,30583,57602,134354,118619
"부산","9분위",147116,152460,445037,89432,145417,292344,61443,144594,197198,27989,147223,95146,57684,163380,152693,145391,158704,434493,88937,153156,287156,62130,152171,197938,26807,155439,89218,56454,167444,147337,146432,163587,427534,91203,156789,287898,65125,156059,201726,26078,158612,86172,55229,174813,139636,151021,169371,435047,95736,162010,297482,69702,161260,212391,26034,164018,85091,55285,182118,137565,151642,174523,427098,95624,166799,290871,70450,165954,210068,25174,169165,80803,56018,187708,136227,152235,2811541,412370,97552,2764402,289131,72544,2748980,211267,25008,2816051,77864,54683,2889102,123239,154704,184540,409617,99332,182205,287225,74399,180927,210967,24933,186020,76258,55372,188728,122392
"부산","10분위",126253,274035,389300,77295,282969,256784,60499,306544,201828,16796,198053,54956,48958,259929,132516,128216,297839,389516,78955,316014,258229,61115,342225,199969,17840,226222,58260,49261,268708,131287,132937,287950,399364,83643,292863,270355,64883,315006,209666,18760,216279,60689,49294,279614,129009,138421,298817,411202,88433,304068,281560,69409,326247,221037,19024,223149,60523,49988,289529,129642,141327,307889,413879,90803,314312,284853,70943,337534,222364,19860,231359,62489,50524,296345,129026,142762,5167197,405663,90622,5118739,277302,71203,5459269,217772,19419,3812359,59530,52140,5222487,128361,143140,347284,398433,91633,350457,274300,73131,374883,218579,18502,253908,55721,51507,341639,124133
"대구","계",996216,82748,2296754,636916,82022,1569061,569996,76864,1371635,66920,125953,197426,359300,84036,727693,1017784,87969,2313843,660699,88392,1601385,596181,83096,1410961,64518,137331,190424,357085,87186,712458,1032143,90913,2288022,682410,89770,1606876,617608,84355,1419390,64802,141377,187486,349733,93142,681146,1053723,95489,2291284,704477,94104,1621144,639700,88909,1437612,64777,145403,183532,349246,98282,670140,1073819,98131,2289434,725361,97425,1633604,660001,92097,1451975,65360,151225,181629,348458,99600,655830,1104023,757911,2278956,743885,790003,1623165,677562,755029,1446444,66323,1194338,176721,360138,701405,655791,1123834,105874,2264246,760740,110355,1617967,693462,105193,1443564,67278,163553,174403,363094,96487,646279
"대구","1분위",111142,18737,192021,76476,24584,153798,76078,24582,153091,398,24957,707,34666,5839,38223,109506,19111,186111,76543,24878,149566,76328,24878,149240,215,25141,326,32963,5717,36545,109582,20105,179576,77173,26031,143533,76912,26032,143128,261,25623,405,32409,5995,36043,110828,20791,177647,77883,26985,140768,77605,26982,140328,278,27747,440,32945,6147,36879,112094,21274,176023,79205,27604,139399,78937,27599,138990,268,29235,409,32889,6030,36624,117132,177173,183328,81510,235828,139893,81231,235735,139465,279,264335,428,35622,54849,43435,121399,24647,185434,84479,31975,139340,84219,31961,138942,260,36457,398,36920,7878,46094
"대구","2분위",109902,26288,191636,73648,32703,147424,72362,32708,145451,1286,32449,1973,36254,13256,44212,112856,27471,194931,76014,34493,150273,75355,34483,149287,659,35654,986,36842,12982,44658,113164,29424,191855,77952,36638,149148,77295,36635,148130,657,36992,1018,35212,13454,42707,117212,31091,194117,80466,38894,149673,79420,38882,148143,1046,39878,1530,36746,14004,44444,119095,32537,195268,82928,40799,151515,81752,40789,149787,1176,41473,1728,36167,13593,43753,117066,282776,193248,82865,369654,147184,81656,369607,145458,1209,373286,1726,34201,92875,46064,127754,38754,203211,84221,52113,146252,83119,52103,144691,1102,52860,1561,43533,12909,56959
"대구","3분위",105714,32521,184254,67414,39637,133021,65736,39649,130259,1678,39167,2762,38300,19996,51233,109400,34089,190187,71195,41760,139737,69902,41763,137653,1293,41614,2084,38205,19793,50450,110087,35967,183977,72980,43693,135536,71385,43704,133093,1595,43223,2443,37107,20771,48441,111370,38049,184676,74924,45856,136484,73657,45857,134477,1267,45811,2007,36446,21999,48192,119019,39154,192598,78649,48072,140503,77484,48077,138745,1165,47747,1758,40370,21780,52095,134221,296658,214280,81858,422355,142720,80506,422320,140767,1352,424314,1953,52363,105541,71560,127200,43144,201524,82412,58771,140665,80878,58766,138486,1534,59042,2179,44788,14390,60859
"대구","4분위",94895,42635,187101,65891,47585,133673,64193,47591,130805,1698,47356,2868,29004,31390,53428,98629,44346,188492,68840,49971,135745,67310,49971,133093,1530,49968,2652,29789,31347,52747,99981,46536,184419,70677,52024,134771,69103,52020,132145,1574,52183,2626,29304,33299,49648,99609,49258,179887,71653,54533,133130,69933,54514,130404,1720,55318,2726,27956,35737,46757,99469,51705,178247,73562,57114,133178,72077,57115,130915,1485,57043,2263,25907,36348,45069,100437,403139,172669,76004,485403,133368,74491,485355,131081,1513,487961,2287,24433,166613,39301,104592,56481,175806,78921,66377,135796,77150,66369,133276,1771,66759,2520,25671,26057,40010
