,주소,영업장주변구분,영업장주변구분명
870,전라북도 남원시,학교정화(절대),1
871,전라북도 무주군,기타,9
872,전라북도 무주군,미분류,7
873,전라북도 무주군,유흥업소밀집지역,1
874,전라북도 무주군,학교정화(상대),1
875,전라북도 부안군,기타,6
876,전라북도 부안군,미분류,21
877,전라북도 부안군,학교정화(상대),7
878,전라북도 부안군,학교정화(절대),1
879,전라북도 순창군,결혼예식장주변,3
880,전라북도 순창군,미분류,6
881,전라북도 순창군,유흥업소밀집지역,2
882,전라북도 순창군,주택가주변,1
883,전라북도 순창군,학교정화(상대),2
884,전라북도 완주군,기타,13
885,전라북도 완주군,미분류,15
886,전라북도 완주군,유흥업소밀집지역,2
887,전라북도 완주군,학교정화(상대),4
888,전라북도 익산시,기타,11
889,전라북도 익산시,미분류,51
890,전라북도 익산시,유흥업소밀집지역,44
891,전라북도 익산시,학교정화(상대),5
892,전라북도 임실군,기타,4
893,전라북도 장수군,결혼예식장주변,1
894,전라북도 장수군,기타,3
895,전라북도 장수군,미분류,3
896,전라북도 장수군,유흥업소밀집지역,1
897,전라북도 장수군,주택가주변,2
898,전라북도 장수군,학교정화(상대),1
899,전라북도 전주시,결혼예식장주변,4
900,전라북도 전주시,기타,76
901,전라북도 전주시,미분류,79
902,전라북도 전주시,유흥업소밀집지역,108
903,전라북도 전주시,주택가주변,3
904,전라북도 전주시,학교정화(상대),4
905,전라북도 정읍시,기타,13
906,전라북도 정읍시,미분류,32
907,전라북도 정읍시,아파트지역,2
908,전라북도 정읍시,유흥업소밀집지역,30
909,전라북도 정읍시,학교정화(상대),13
910,전라북도 진안군,미분류,3
911,전라북도 진안군,유흥업소밀집지역,3
912,전라북도 진안군,주택가주변,2
913,제주특별자치도 서귀포시,기타,77
914,제주특별자치도 서귀포시,미분류,97
915,제주특별자치도 서귀포시,유흥업소밀집지역,59
916,제주특별자치도 서귀포시,학교정화(상대),18
917,제주특별자치도 서귀포시,학교정화(절대),1
918,제주특별자치도 제주시,기타,48
919,제주특별자치도 제주시,미분류,303
920,제주특별자치도 제주시,아파트지역,9
921,제주특별자치도 제주시,유흥업소밀집지역,124
922,제주특별자치도 제주시,주택가주변,7
923,제주특별자치도 제주시,학교정화(상대),34
924,충청남도 계룡시,기타,2
925,충청남도 계룡시,미분류,16
926,충청남도 계룡시,유흥업소밀집지역,1
927,충청남도 공주시,기타,2
928,충청남도 공주시,미분류,38
929,충청남도 공주시,유흥업소밀집지역,15
930,충청남도 공주시,학교정화(상대),4
931,충청남도 금산군,기타,5
932,충청남도 금산군,미분류,11
933,충청남도 금산군,유흥업소밀집지역,5
934,충청남도 논산시,기타,12
935,충청남도 논산시,미분류,26
936,충청남도 논산시,유흥업소밀집지역,16
937,충청남도 논산시,학교정화(상대),7
938,충청남도 당진시,기타,17
939,충청남도 당진시,미분류,64
940,충청남도 당진시,아파트지역,1
941,충청남도 당진시,유흥업소밀집지역,34
942,충청남도 당진시,주택가주변,3
943,충청남도 당진시,학교정화(상대),1
944,충청남도 보령시,기타,20
945,충청남도 보령시,미분류,42
946,충청남도 보령시,유흥업소밀집지역,5
947,충청남도 보령시,학교정화(상대),1
948,충청남도 보령시,학교정화(절대),2
949,충청남도 부여군,결혼예식장주변,1
950,충청남도 부여군,기타,3
951,충청남도 부여군,미분류,32
952,충청남도 서산시,기타,15
953,충청남도 서산시,미분류,55
954,충청남도 서산시,유흥업소밀집지역,23
955,충청남도 서산시,학교정화(상대),2
956,충청남도 서천군,기타,4
957,충청남도 서천군,미분류,24
958,충청남도 서천군,학교정화(상대),1
959,충청남도 아산시,기타,103
960,충청남도 아산시,미분류,52
961,충청남도 아산시,유흥업소밀집지역,35
962,충청남도 아산시,학교정화(상대),4
963,충청남도 아산시,학교정화(절대),1
964,충청남도 예산군,기타,6
965,충청남도 예산군,미분류,11
966,충청남도 예산군,유흥업소밀집지역,10
967,충청남도 예산군,학교정화(상대),2
968,충청남도 천안시,기타,8
969,충청남도 천안시,미분류,228
970,충청남도 천안시,유흥업소밀집지역,94
971,충청남도 천안시,학교정화(상대),5
972,충청남도 청양군,결혼예식장주변,1
973,충청남도 청양군,기타,4
974,충청남도 청양군,미분류,3
975,충청남도 청양군,유흥업소밀집지역,5
976,충청남도 청양군,학교정화(상대),1
977,충청남도 태안군,기타,10
978,충청남도 태안군,미분류,24
979,충청남도 태안군,유흥업소밀집지역,3
980,충청남도 태안군,학교정화(상대),3
981,충청남도 홍성군,기타,9
982,충청남도 홍성군,미분류,27
983,충청남도 홍성군,유흥업소밀집지역,19
984,충청남도 홍성군,주택가주변,6
985,충청남도 홍성군,학교정화(절대),1
986,충청북도 괴산군,기타,2
987,충청북도 괴산군,미분류,4
988,충청북도 괴산군,유흥업소밀집지역,2
989,충청북도 단양군,기타,2
990,충청북도 단양군,미분류,7
991,충청북도 단양군,유흥업소밀집지역,2
992,충청북도 보은군,기타,1
993,충청북도 보은군,미분류,24
994,충청북도 영동군,기타,7
995,충청북도 영동군,미분류,12
996,충청북도 영동군,유흥업소밀집지역,8
997,충청북도 영동군,학교정화(상대),4
998,충청북도 옥천군,기타,4
999,충청북도 옥천군,미분류,14
1000,충청북도 옥천군,유흥업소밀집지역,2
1001,충청북도 옥천군,학교정화(상대),3
1002,충청북도 음성군,결혼예식장주변,1
1003,충청북도 음성군,기타,15
1004,충청북도 음성군,미분류,92
1005,충청북도 음성군,유흥업소밀집지역,3
1006,충청북도 음성군,주택가주변,1
1007,충청북도 음성군,학교정화(상대),3
1008,충청북도 제천시,기타,12
1009,충청북도 제천시,미분류,49
1010,충청북도 제천시,아파트지역,2
1011,충청북도 제천시,유흥업소밀집지역,14
1012,충청북도 제천시,학교정화(상대),21
1013,충청북도 증평군,기타,8
1014,충청북도 증평군,미분류,25
1015,충청북도 증평군,유흥업소밀집지역,1
1016,충청북도 진천군,결혼예식장주변,1
1017,충청북도 진천군,기타,21
1018,충청북도 진천군,미분류,39
1019,충청북도 진천군,유흥업소밀집지역,21
1020,충청북도 청주시,기타,16
1021,충청북도 청주시,미분류,137
1022,충청북도 청주시,유흥업소밀집지역,33
1023,충청북도 청주시,주택가주변,3
1024,충청북도 청주시,학교정화(상대),1
1025,충청북도 충주시,기타,37
1026,충청북도 충주시,미분류,106
1027,충청북도 충주시,유흥업소밀집지역,33
1028,충청북도 충주시,학교정화(상대),6
1029,충청북도 충주시,학교정화(절대),1
