,법정동코드,법정동명,폐지여부
166,4615000000,전라남도 순천시,존재
167,4617000000,전라남도 나주시,존재
168,4623000000,전라남도 광양시,존재
169,4671000000,전라남도 담양군,존재
170,4672000000,전라남도 곡성군,존재
171,4673000000,전라남도 구례군,존재
172,4677000000,전라남도 고흥군,존재
173,4678000000,전라남도 보성군,존재
174,4679000000,전라남도 화순군,존재
175,4680000000,전라남도 장흥군,존재
176,4681000000,전라남도 강진군,존재
177,4682000000,전라남도 해남군,존재
178,4683000000,전라남도 영암군,존재
179,4684000000,전라남도 무안군,존재
180,4686000000,전라남도 함평군,존재
181,4687000000,전라남도 영광군,존재
182,4688000000,전라남도 장성군,존재
183,4689000000,전라남도 완도군,존재
184,4690000000,전라남도 진도군,존재
185,4691000000,전라남도 신안군,존재
186,4711000000,경상북도 포항시,존재
187,4713000000,경상북도 경주시,존재
188,4715000000,경상북도 김천시,존재
189,4717000000,경상북도 안동시,존재
190,4719000000,경상북도 구미시,존재
191,4721000000,경상북도 영주시,존재
192,4723000000,경상북도 영천시,존재
193,4725000000,경상북도 상주시,존재
194,4728000000,경상북도 문경시,존재
195,4729000000,경상북도 경산시,존재
196,4772000000,경상북도 군위군,존재
197,4773000000,경상북도 의성군,존재
198,4775000000,경상북도 청송군,존재
199,4776000000,경상북도 영양군,존재
200,4777000000,경상북도 영덕군,존재
201,4782000000,경상북도 청도군,존재
202,4783000000,경상북도 고령군,존재
203,4784000000,경상북도 성주군,존재
204,4785000000,경상북도 칠곡군,존재
205,4790000000,경상북도 예천군,존재
206,4792000000,경상북도 봉화군,존재
207,4793000000,경상북도 울진군,존재
208,4794000000,경상북도 울릉군,존재
209,4812000000,경상남도 창원시,존재
210,4817000000,경상남도 진주시,존재
211,4822000000,경상남도 통영시,존재
212,4824000000,경상남도 사천시,존재
213,4825000000,경상남도 김해시,존재
214,4827000000,경상남도 밀양시,존재
215,4831000000,경상남도 거제시,존재
216,4833000000,경상남도 양산시,존재
217,4872000000,경상남도 의령군,존재
218,4873000000,경상남도 함안군,존재
219,4874000000,경상남도 창녕군,존재
220,4882000000,경상남도 고성군,존재
221,4884000000,경상남도 남해군,존재
222,4885000000,경상남도 하동군,존재
223,4886000000,경상남도 산청군,존재
224,4887000000,경상남도 함양군,존재
225,4888000000,경상남도 거창군,존재
226,4889000000,경상남도 합천군,존재
227,5011000000,제주특별자치도 제주시,존재
228,5013000000,제주특별자치도 서귀포시,존재
