,시도코드,시군구코드,법정동명
196,37,37310,경상북도 군위군
197,37,37320,경상북도 의성군
198,37,37330,경상북도 청송군
199,37,37340,경상북도 영양군
200,37,37350,경상북도 영덕군
201,37,37360,경상북도 청도군
202,37,37370,경상북도 고령군
203,37,37380,경상북도 성주군
204,37,37390,경상북도 칠곡군
205,37,37400,경상북도 예천군
206,37,37410,경상북도 봉화군
207,37,37420,경상북도 울진군
208,37,37430,경상북도 울릉군
209,38,38030,경상남도 진주시
210,38,38050,경상남도 통영시
211,38,38060,경상남도 사천시
212,38,38070,경상남도 김해시
213,38,38080,경상남도 밀양시
214,38,38090,경상남도 거제시
215,38,38100,경상남도 양산시
216,38,38111,경상남도 창원시
217,38,38310,경상남도 의령군
218,38,38320,경상남도 함안군
219,38,38330,경상남도 창녕군
220,38,38340,경상남도 고성군
221,38,38350,경상남도 남해군
222,38,38360,경상남도 하동군
223,38,38370,경상남도 산청군
224,38,38380,경상남도 함양군
225,38,38390,경상남도 거창군
226,38,38400,경상남도 합천군
227,39,39010,제주특별자치도 제주시
228,39,39020,제주특별자치도 서귀포시
