9,광주,6분위,57551,68915,129853,35918,69510,83350,32731,69477,77265,3187,69845,6085,21633,67929,46503,59519,71992,132501,38249,73338,87602,35124,73268,81586,3125,74120,6016,21270,69570,44899,58943,74863,127076,38875,75523,87023,35985,75444,81630,2890,76515,5393,20068,73583,40053,59665,78319,124449,40140,78399,86958,37123,78357,81580,3017,78913,5378,19525,78154,37491,60591,81054,123987,41648,80936,87955,38834,80874,83029,2814,81795,4926,18943,81314,36032,64528,389086,126472,43250,425023,87711,40448,424723,83003,2802,429100,4708,21278,319567,38761,67352,85976,128961,45289,91520,88520,42292,91496,83746,2997,91862,4774,22063,74594,40441
10,광주,7분위,55812,88268,140896,34642,85893,91212,28988,85873,78336,5654,85997,12876,21170,92153,49684,56879,91986,141659,36053,90606,94288,30556,90468,81564,5497,91374,12724,20826,94376,47371,58812,95459,141371,38062,93292,95645,32877,93184,84281,5185,93976,11364,20750,99435,45726,59116,99492,139475,39051,96699,96246,33937,96643,85232,5114,97072,11014,20065,104926,43229,60557,102580,138661,40479,99371,96687,35554,99282,86603,4925,100017,10084,20078,109050,41974,61787,500771,135961,41845,517152,95384,36623,516239,85376,5222,522664,10008,19942,467265,40577,60775,108097,128107,42738,110419,95516,37384,110290,85326,5354,111323,10190,18037,102596,32591
11,광주,8분위,56556,114390,161296,34595,108881,104534,25615,108631,78423,8980,109596,26111,21961,123068,56762,57805,119345,162945,35941,115159,107455,26575,114687,80204,9366,116500,27251,21864,126225,55490,58395,123503,159302,36834,118209,106759,27940,117794,81393,8894,119513,25366,21561,132546,52543,59666,128451,159321,38211,122367,108283,29174,122007,82789,9037,123531,25494,21455,139288,51038,60333,132362,156550,38711,125743,106794,30007,125285,83060,8704,127320,23734,21622,144212,49756,61754,649583,151639,40676,652859,106958,32081,650770,84862,8595,660188,22096,21078,643396,44681,65085,137073,154456,43191,138423,109659,34347,138013,87483,8844,140018,22176,21894,134410,44797
12,광주,9분위,54621,151341,176710,35622,145122,125298,21891,144478,75991,13731,146149,49307,18999,163001,51412,56796,157848,179903,37076,152887,127454,22922,152046,77447,14154,154250,50007,19720,167175,52449,58992,162877,182208,38961,156924,130483,24649,156281,81524,14312,158033,48959,20031,174455,51725,61001,168838,183857,40249,162083,131376,26194,161258,84279,14055,163622,47097,20752,181939,52481,61999,173910,182556,41457,167289,131996,27137,166551,85046,14320,168688,46950,20542,187272,50560,63606,877878,180576,43305,864891,134157,28757,859139,88058,14548,875125,46099,20301,904810,46419,66924,184460,184005,45429,182176,136564,30683,181043,90949,14746,184535,45615,21495,189286,47441
13,광주,10분위,50258,253891,178585,35617,254745,137876,27690,269994,110557,7927,201478,27319,14641,251815,40709,51911,276128,180753,36968,282945,139764,29194,301293,113711,7774,214042,26053,14943,259265,40989,53473,273299,184678,38519,275091,144365,30022,291554,115670,8497,216922,28695,14954,268685,40313,56003,283176,188997,40553,285012,148044,31644,302325,118560,8909,223517,29484,15450,278357,40953,58615,292152,194321,43128,293960,153952,33743,311762,123333,9385,229955,30619,15487,287120,40369,59287,1572585,188533,43115,1565358,148242,33796,1682109,118867,9319,1193608,29375,16172,1586150,40291,60549,328894,186094,43166,330368,143705,34013,351731,115394,9153,250985,28311,17383,325233,42389
14,전북,계,718795,71202,1602248,427478,76430,1051185,377629,70665,903627,49849,120103,147558,291317,63529,551063,743104,75889,1654169,452656,82658,1108615,393305,75007,929232,59351,133364,179383,290448,65340,545554,753517,78801,1640461,469284,84846,1116453,409602,76948,939558,59682,139051,176895,284233,68819,524008,767647,82275,1641646,483705,88561,1124069,423609,80722,950160,60096,143816,173909,283942,71567,517577,779343,84998,1637569,493292,91898,1125144,432934,83832,954184,60358,149755,170960,286051,73099,512425,802839,1119665,1626943,509697,1348333,1116363,448388,1203826,950955,61309,2258805,165408,293142,813778,510580,825549,90978,1621241,528213,102965,1117487,464998,95178,954061,63215,160243,163426,297336,69683,503754
15,전북,1분위,107150,15183,170838,56321,24184,115146,55873,24174,114330,448,25374,816,50829,5211,55692,106430,15248,167164,55649,24483,111111,55381,24474,110645,268,26228,466,50781,5129,56053,105721,16227,161673,57030,25552,108019,56676,25535,107444,354,28207,575,48691,5306,53654,105139,16781,157785,56687,26521,104383,56348,26501,103838,339,29798,545,48452,5387,53402,107842,17169,159423,57869,27332,104459,57540,27319,103928,329,29519,531,49973,5400,54964,109877,250344,165192,60151,443057,105912,59809,442580,105370,342,490144,542,49726,82519,59280,112366,20202,163825,60333,31763,100960,60073,31757,100532,260,33202,428,52033,6796,62865
16,전북,2분위,87113,25161,149098,53781,32615,107225,52400,32627,104942,1381,32141,2283,33332,13134,41873,89883,26547,154300,57195,34416,113674,56424,34414,112394,771,34549,1280,32688,12778,40626,93215,28453,157064,60512,36612,116816,59739,36611,115630,773,36690,1186,32703,13357,40248,96341,30312,160813,63445,38854,119633,62569,38849,118259,876,39173,1374,32896,13837,41180,97319,31334,160816,63355,40813,118181,62356,40812,116683,999,40898,1498,33964,13652,42635,99798,465808,164753,64170,694479,115826,62967,694284,114038,1203,705145,1788,35628,162872,48927,103205,37987,164701,66047,52443,115264,64890,52433,113549,1157,53013,1715,37158,12292,49437
17,전북,3분위,75555,32655,134680,48464,39435,94529,46609,39428,91010,1855,39614,3519,27091,20526,40151,76748,34570,137200,50928,41818,98916,49975,41815,97200,953,42008,1716,25820,20273,38284,75629,36612,131905,51481,43719,96395,50352,43725,94476,1129,43480,1919,24148,21461,35510,78836,38441,134561,53755,45855,98424,52802,45854,96847,953,45891,1577,25081,22552,36137,82489,40089,138718,57179,47981,102543,56005,47981,100710,1174,47968,1833,25310,22259,36175,91353,677738,149585,61942,790911,108673,60685,790694,106842,1257,801316,1831,29411,201675,40912,96008,44445,155176,64764,58688,111594,63304,58674,109555,1460,59294,2039,31244,14921,43582
18,전북,4분위,72837,41251,141124,44618,47374,90369,42811,47367,86910,1807,47544,3459,28219,31569,50755,74694,42741,141300,45635,49940,90461,44260,49936,87919,1375,50096,2542,29059,31435,50839,77617,44908,142260,48121,51963,92138,46801,51956,89862,1320,52225,2276,29496,33398,50122,77637,47158,139684,47468,54464,88561,46032,54440,86224,1436,55207,2337,30169,35663,51123,77696,49205,138760,48455,57008,88923,47403,56997,87243,1052,57476,1680,29241,36276,49837,78549,656464,135813,50874,907695,90750,49511,907420,88636,1363,914226,2114,27675,312097,45063,82906,53329,140375,56107,66271,96991,54152,66255,94067,1955,66698,2924,26799,26236,43384
