,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
195,경북울진군,12913,443066,12792,439388,12787,456063,12625,452427,13027,482109,12832,478224,13335,505865,12996,501887
196,경북의성군,10407,261041,9870,258783,10404,272097,9587,270066,10690,294943,10072,292988,10966,307554,10328,305736
197,경북청도군,9754,262942,9520,260520,9833,275220,9503,272781,9822,294672,9650,292460,10044,307358,9842,305176
198,경북청송군,5085,136190,4913,135399,5073,141134,4920,140266,5288,153279,5076,152418,5570,160378,5381,159600
199,경북칠곡군,43151,1324995,43000,1315632,42323,1333320,41948,1325006,42056,1363895,41594,1354209,41089,1336101,40550,1326958
200,경북포항시,157106,5751080,156280,5706294,157439,5941833,156658,5900888,160755,6351852,160157,6310008,164385,6582253,163381,6544690
201,부산소계,1144244,35975255,1141432,35533772,1137677,37397970,1134370,36979164,1148577,39118658,1145863,38705941,1174336,40995231,1169382,40580086
202,부산강서구,45651,1579117,45451,1564660,47354,1683042,47131,1668125,50206,1856306,50050,1840077,54772,2083924,54497,2067269
203,부산금정구,78078,2594538,77794,2569123,78579,2720852,78260,2696390,78573,2805497,78318,2781769,77707,2828261,77220,2804427
204,부산기장군,50804,1601990,50708,1579169,51865,1701808,51741,1680051,52871,1792038,52773,1771055,57961,2005187,57811,1983037
205,부산남구,86014,2812800,85790,2777021,88591,3131224,88321,3095999,88937,3256217,88770,3221938,88621,3331402,88265,3297656
206,부산동구,26053,656434,25968,644984,26122,686110,26019,674956,27142,750815,27067,738545,29570,846909,29426,834470
207,부산동래구,88318,2948188,88100,2916479,87743,3064044,87507,3034423,90782,3297752,90576,3268342,93747,3505108,93363,3474530
208,부산부산진구,121234,3553360,121015,3515072,118350,3624256,118056,3588609,119209,3781685,118984,3746539,123188,3980138,122525,3943876
209,부산북구,104063,3154359,103810,3124688,101508,3209206,101251,3181093,100624,3294529,100325,3267127,101825,3393528,101427,3366160
210,부산사상구,82280,2154402,82134,2132631,80000,2173515,79761,2152144,78780,2231488,78616,2210183,78534,2278984,78191,2257492
211,부산사하구,118432,3377297,118187,3331647,116566,3431638,116252,3390020,116039,3490183,115756,3449347,115200,3541757,114760,3502198
212,부산서구,32686,933653,32604,914451,33298,1003905,33202,985357,33159,1043016,33054,1024814,33847,1097302,33705,1079637
213,부산수영구,58200,1831790,58072,1807777,57496,1881045,57337,1859076,58834,1996145,58737,1974870,61121,2137472,60927,2115007
214,부산연제구,67486,2211671,67329,2188056,67477,2296728,67305,2274555,70464,2487806,70310,2466016,72631,2638105,72371,2615947
215,부산영도구,37859,1013811,37762,979878,36409,1015442,36290,983940,35686,1032005,35560,1001681,35413,1044153,35235,1015583
216,부산중구,13391,307516,13311,298552,13053,313108,12967,304587,12942,320784,12859,312276,13493,342779,13401,333935
217,부산해운대구,133695,5244328,133397,5189584,133266,5462047,132970,5409839,134329,5682393,134108,5631363,136706,5940223,136258,5888863
218,울산소계,430928,17759294,430171,17648807,418808,17762818,417870,17655992,420925,18200848,420105,18103307,427549,18696556,426417,18601340
219,울산남구,120584,5183803,120331,5154405,117719,5262216,117403,5235067,117617,5388712,117347,5362694,120003,5540033,119668,5514686
220,울산동구,72288,2907241,72212,2883468,64886,2616021,64798,2589711,61329,2471426,61243,2452522,60668,2468514,60527,2449912
221,울산북구,76290,3414807,76175,3397717,78624,3551377,78456,3534271,84174,3847711,84023,3830489,87723,4078250,87527,4060893
222,울산울주군,78354,2881121,78219,2860730,77963,3020026,77804,3001069,80031,3183874,79899,3164706,82086,3271785,81870,3253378
223,울산중구,83412,3372323,83234,3352487,79616,3313178,79409,3295874,77774,3309125,77593,3292896,77069,3337974,76825,3322470
224,경남소계,1118053,36735542,1114258,36467935,1112933,37613347,1108625,37356316,1128350,39215017,1124204,38948684,1155835,41161201,1150215,40889573
225,경남거제시,103945,4178112,103795,4163902,94956,3614797,94678,3600726,90365,3316198,90097,3300757,92590,3523240,92220,3507377
226,경남거창군,14480,424864,14431,422429,14529,444539,14465,442252,15265,479758,15125,477116,15525,506286,15346,503768
227,경남고성군,13749,368228,13656,364838,12965,359647,12919,356663,12584,365241,12553,362434,13147,386735,12970,383880
228,경남김해시,194862,6015627,194476,5968880,195275,6304129,194879,6261438,202203,6777670,201785,6732677,208421,7131400,207794,7085715
229,경남남해군,8994,248099,8850,244558,8996,258647,8963,255257,9109,272192,9080,269266,9333,283061,9299,279642
230,경남밀양시,28962,785258,28529,779268,29119,823901,28623,817901,29210,871736,28797,865744,30131,928402,29652,922418
231,경남사천시,34835,1098570,34632,1089774,34927,1143659,34656,1135235,35411,1223037,35233,1213980,36453,1317790,36261,1309393
232,경남산청군,7434,213093,7413,211582,7728,226962,7694,225304,7848,236586,7640,234937,7961,244865,7805,243153
233,경남양산시,119260,3585156,118819,3550718,122769,3873060,122308,3839768,125591,4093420,125220,4060268,129518,4336766,128692,4303629
234,경남의령군,6372,181636,6347,180502,6477,191009,6449,189875,6612,204490,6589,203368,6874,214082,6829,212879
235,경남진주시,106070,3554711,105678,3532125,107513,3726858,107057,3705433,111499,4061100,111094,4039134,116342,4317240,115892,4292197
236,경남창녕군,17338,473352,17292,469759,17100,492858,17015,489542,17583,515675,17362,511997,17640,541708,17491,538407
237,경남창원시,374425,13161389,373842,13061034,375231,13680887,374418,13582728,380619,14256910,379850,14154185,386520,14785688,385449,14682369
238,경남통영시,37407,1040989,37337,1031909,35650,1005498,35556,996740,34427,1001776,34310,993233,35192,1061085,34989,1051438
239,경남하동군,9581,271630,9539,269920,9529,281558,9490,279749,9731,302204,9694,300362,9750,307109,9635,305172
240,경남함안군,22416,636230,21991,631110,22078,660556,21727,655792,21965,680748,21503,675672,21884,696932,21520,692188
241,경남함양군,8608,236146,8427,234814,8904,254163,8684,252736,9153,272742,9124,271378,9343,288482,9307,286992
242,경남합천군,9315,262452,9204,260814,9187,270618,9044,269179,9175,283536,9148,282176,9211,290330,9064,288954
243,제주소계,197972,5705113,197102,5674147,207528,6282535,206746,6252334,217451,6820187,216873,6790174,225998,7297193,225382,7266684
244,제주제주시,150621,4389021,150155,4366483,157011,4803882,156638,4781549,164636,5213420,164312,5191500,171469,5584793,171144,5562873
245,제주서귀포시,47351,1316092,46947,1307664,50517,1478653,50108,1470785,52815,1606768,52561,1598675,54529,1712400,54238,1703811
246,기타소계,10978,151361,8179,118407,10830,168003,8619,137911,8357,129599,6651,105622,7044,89495,5590,67458
